name,unit,ea5ccbc7fd64d270b2972293f942575bc9f7cd0d
memory_allocated_in_heap,MiB,1895821
memory_copied_during_GC,MiB,55129
maximum_residency,MiB,3493
memory_maximum_slop,KiB,5640
total_memory_in_use,MiB,4429
Total,ms,828572
Miscellaneous,ms,24743
Agda.Primitive.Cubical,ms,22
foundation.fundamental-theorem-of-equivalence-relations,ms,13572
synthetic-homotopy-theory.mathers-second-cube-theorem,ms,13541
category-theory.category-of-functors-from-small-to-large-categories,ms,12551
category-theory.density-comonads-on-precategories,ms,10476
univalent-combinatorics.orientations-complete-undirected-graph,ms,9491
everything,ms,8472
foundation.pullbacks,ms,7833
finite-group-theory.orbits-permutations,ms,7530
synthetic-homotopy-theory.universal-property-pushouts,ms,7221
finite-group-theory.delooping-sign-homomorphism,ms,6748
foundation.commuting-cubes-of-maps,ms,6495
category-theory.category-of-maps-from-small-to-large-categories,ms,5904
finite-group-theory.transpositions,ms,5143
foundation.commuting-prisms-of-maps,ms,4852
category-theory.codensity-monads-on-precategories,ms,4290
foundation-core.pullbacks,ms,4119
orthogonal-factorization-systems.orthogonal-maps,ms,4118
synthetic-homotopy-theory.flattening-lemma-pushouts,ms,4062
foundation.transport-along-higher-identifications,ms,3699
foundation.functoriality-morphisms-arrows,ms,3539
real-numbers.multiplication-real-numbers,ms,3341
foundation.cartesian-products-set-quotients,ms,3237
foundation.commuting-squares-of-maps,ms,3206
complex-numbers.multiplication-complex-numbers,ms,3147
structured-types.pointed-2-homotopies,ms,3060
universal-algebra.quotient-algebras,ms,2791
elementary-number-theory.bezouts-lemma-natural-numbers,ms,2649
type-theories.dependent-type-theories,ms,2620
synthetic-homotopy-theory.eckmann-hilton-argument,ms,2539
foundation.cartesian-morphisms-arrows,ms,2470
univalent-combinatorics.binomial-types,ms,2410
foundation-core.coherently-invertible-maps,ms,2317
synthetic-homotopy-theory.identity-systems-descent-data-pushouts,ms,2308
univalent-combinatorics.counting-dependent-pair-types,ms,2301
foundation.cones-over-cospan-diagrams,ms,2297
synthetic-homotopy-theory.functoriality-sequential-colimits,ms,2246
structured-types.morphisms-pointed-arrows,ms,2179
category-theory.slice-precategories,ms,2068
foundation.homotopies-morphisms-arrows,ms,2011
type-theories.fibered-dependent-type-theories,ms,2008
foundation.lifts-morphisms-arrows,ms,1973
synthetic-homotopy-theory.dependent-cocones-under-spans,ms,1962
synthetic-homotopy-theory.pushouts,ms,1961
orthogonal-factorization-systems.connected-maps-at-subuniverses,ms,1941
foundation.dependent-sums-pullbacks,ms,1903
foundation-core.commuting-squares-of-homotopies,ms,1901
univalent-combinatorics.2-element-types,ms,1891
foundation-core.commuting-prisms-of-maps,ms,1877
trees.underlying-trees-elements-coalgebras-polynomial-endofunctors,ms,1856
foundation.functoriality-coproduct-types,ms,1845
graph-theory.dependent-products-reflexive-graphs,ms,1843
analysis.constructive-intermediate-value-theorem,ms,1843
foundation.retracts-of-arrows,ms,1819
foundation.functoriality-pullbacks,ms,1809
synthetic-homotopy-theory.descent-data-equivalence-types-over-pushouts,ms,1755
elementary-number-theory.multiplication-closed-intervals-rational-numbers,ms,1740
finite-group-theory.simpson-delooping-sign-homomorphism,ms,1706
real-numbers.proper-closed-intervals-real-numbers,ms,1660
foundation.split-idempotent-maps,ms,1657
foundation.universal-property-set-quotients,ms,1598
synthetic-homotopy-theory.sections-descent-data-pushouts,ms,1590
foundation.surjective-maps,ms,1574
structured-types.pointed-equivalences,ms,1562
synthetic-homotopy-theory.descent-data-function-types-over-pushouts,ms,1485
type-theories.simple-type-theories,ms,1482
foundation.sigma-decompositions,ms,1472
category-theory.natural-isomorphisms-functors-categories,ms,1435
foundation.universal-property-cartesian-morphisms-arrows,ms,1428
commutative-algebra.polynomials-commutative-semirings,ms,1419
category-theory.natural-isomorphisms-functors-precategories,ms,1416
foundation.functoriality-fibers-of-maps,ms,1401
analysis.intermediate-value-theorem,ms,1398
set-theory.cumulative-hierarchy,ms,1398
univalent-combinatorics.untruncated-pi-finite-types,ms,1348
category-theory.natural-isomorphisms-maps-precategories,ms,1320
synthetic-homotopy-theory.truncated-acyclic-maps,ms,1314
analysis.composition-differentiable-real-functions-on-proper-closed-intervals-real-numbers,ms,1314
foundation.products-pullbacks,ms,1306
synthetic-homotopy-theory.universal-property-coequalizers,ms,1291
synthetic-homotopy-theory.hatchers-acyclic-type,ms,1291
synthetic-homotopy-theory.universal-cover-circle,ms,1275
elementary-number-theory.modular-arithmetic-standard-finite-types,ms,1260
foundation-core.commuting-squares-of-identifications,ms,1258
category-theory.natural-isomorphisms-maps-categories,ms,1252
foundation.binary-functoriality-set-quotients,ms,1237
synthetic-category-theory.synthetic-categories,ms,1232
foundation.forks,ms,1228
analysis.differentiable-real-maps-on-proper-closed-intervals-real-numbers,ms,1225
foundation.path-algebra,ms,1203
category-theory.limits-precategories,ms,1194
foundation.relaxed-sigma-decompositions,ms,1184
category-theory.isomorphisms-in-precategories,ms,1164
finite-group-theory.transpositions-standard-finite-types,ms,1164
finite-group-theory.permutations-standard-finite-types,ms,1161
species.dirichlet-products-species-of-types-in-subuniverses,ms,1154
complex-numbers.addition-complex-numbers,ms,1153
foundation.yoneda-identity-types,ms,1151
category-theory.colimits-precategories,ms,1139
foundation.equivalences,ms,1135
species.cauchy-products-species-of-types-in-subuniverses,ms,1133
category-theory.isomorphisms-in-large-precategories,ms,1130
foundation.telescopes,ms,1126
elementary-number-theory.modular-arithmetic,ms,1124
foundation.coproduct-decompositions,ms,1122
synthetic-category-theory.cone-diagrams-synthetic-categories,ms,1109
trees.equivalences-enriched-directed-trees,ms,1103
commutative-algebra.products-ideals-commutative-rings,ms,1082
group-theory.sums-of-finite-families-of-elements-commutative-monoids,ms,1080
